data,close,volume
2010/12/27,52.01,45211 
2010/12/28,52.16,36610 
2010/12/29,51.94,40414 
2010/12/30,51.94,55579 
2010/12/31,52.23,143761 
2011/1/3,52.3,35747 
2011/1/4,52.38,36048 
2011/1/5,51.35,54327 
2011/1/6,52.23,46802 
2011/1/7,53.33,170328 
2011/1/10,54.59,69703 
2011/1/11,54.81,82758 
2011/1/12,55.1,53637 
2011/1/13,54.88,93105 
2011/1/14,55.03,29817 
2011/1/17,55.76,67400 
2011/1/18,56.5,57357 
2011/1/19,57.38,87297 
2011/1/20,56.2,43718 
2011/1/21,54.88,81475 
2011/1/24,55.39,46169 
2011/1/25,55.17,50794 
2011/1/26,54.88,66830 
2011/1/27,55.32,69892 
2011/1/28,56.13,110404 
2011/2/8,55.54,110969 
2011/2/9,54.29,81246 
2011/2/10,52.97,83632 
2011/2/11,52.53,112430 
2011/2/14,53.33,66889 
2011/2/15,53.33,56495 
2011/2/16,53.04,54423 
2011/2/17,53.33,49330 
2011/2/18,53.7,74599 
2011/2/21,54,39070 
2011/2/22,53.33,82661 
2011/2/23,52.23,80262 
2011/2/24,51.86,62768 
2011/2/25,51.86,78873 
2011/3/1,52.53,84618 
2011/3/2,51.79,53047 
2011/3/3,52.08,59498 
2011/3/4,52.82,60659 
2011/3/7,52.16,30172 
2011/3/8,52.6,55818 
2011/3/9,52.53,46796 
2011/3/10,51.86,64180 
2011/3/11,51.5,52600 
2011/3/14,51.72,48041 
2011/3/15,50.02,117025 
2011/3/16,50.39,62389 
2011/3/17,49.58,105442 
2011/3/18,50.25,55721 
2011/3/21,50.76,36534 
2011/3/22,50.47,34736 
2011/3/23,50.54,31238 
2011/3/24,51.05,44747 
2011/3/25,52.38,51712 
2011/3/28,52.23,31030 
2011/3/29,52.08,34871 
2011/3/30,51.72,60975 
2011/3/31,51.94,46429 
2011/4/1,52.01,30274 
2011/4/6,53.63,114460 
2011/4/7,53.56,45215 
2011/4/8,53.63,65763 
2011/4/11,52.3,62602 
2011/4/12,51.57,45964 
2011/4/13,52.01,27891 
2011/4/14,51.35,53756 
2011/4/15,50.91,52231 
2011/4/18,50.76,27185 
2011/4/19,50.1,42733 
2011/4/20,51.35,48244 
2011/4/21,52.01,50937 
2011/4/22,52.16,25371 
2011/4/25,51.72,22103 
2011/4/26,51.72,31931 
2011/4/27,53.19,59307 
2011/4/28,53.7,83614 
2011/4/29,53.85,93588 
2011/5/3,54.88,81669 
2011/5/4,54.29,46678 
2011/5/5,55.03,45484 
2011/5/6,55.17,54111 
2011/5/9,55.54,64708 
2011/5/10,54.73,43355 
2011/5/11,55.17,43256 
2011/5/12,55.69,59055 
2011/5/13,55.84,40118 
2011/5/16,55.1,34105 
2011/5/17,55.62,41402 
2011/5/18,55.39,28263 
2011/5/19,55.32,58823 
2011/5/20,55.54,33000 
2011/5/23,55.25,39033 
2011/5/24,55.03,34788 
2011/5/25,54.81,59580 
2011/5/26,54.59,33240 
2011/5/27,54.44,49929 
2011/5/30,55.25,33733 
2011/5/31,56.42,62918 
2011/6/1,56.65,45321 
2011/6/2,56.2,61881 
2011/6/3,56.79,36770 
2011/6/7,57.01,41425 
2011/6/8,57.01,58253 
2011/6/9,56.57,36964 
2011/6/10,55.39,55348 
2011/6/13,54.95,72548 
2011/6/14,56.06,52975 
2011/6/15,56.65,91840 
2011/6/16,55.54,63134 
2011/6/17,54.59,91732 
2011/6/20,55.1,31787 
2011/6/21,55.84,42663 
2011/6/22,55.17,46702 
2011/6/23,54.59,70233 
2011/6/24,53.63,86769 
2011/6/27,52.97,65176 
2011/6/28,53.33,101716 
2011/6/29,54.79,93105 
2011/6/30,55.41,48913 
2011/7/1,55.87,41924 
2011/7/4,56.4,44330 
2011/7/5,56.17,39009 
2011/7/6,55.87,43443 
2011/7/7,54.95,47743 
2011/7/8,55.64,52961 
2011/7/11,54.72,52112 
2011/7/12,53.95,40008 
2011/7/13,55.41,69109 
2011/7/14,54.26,54411 
2011/7/15,53.64,89121 
2011/7/18,53.49,37965 
2011/7/19,52.57,57459 
2011/7/20,54.95,58272 
2011/7/21,54.95,33277 
2011/7/22,55.25,38243 
2011/7/25,55.25,34963 
2011/7/26,56.56,53159 
2011/7/27,56.33,45636 
2011/7/28,56.02,33720 
2011/7/29,55.25,60692 
2011/8/1,55.71,41138 
2011/8/2,54.79,33521 
2011/8/3,53.79,46025 
2011/8/4,53.72,45103 
2011/8/5,51.11,89690 
2011/8/8,50.03,97536 
2011/8/9,48.58,116036 
2011/8/10,50.5,109804 
2011/8/11,50.96,54377 
2011/8/12,49.96,64348 
2011/8/15,51.26,40240 
2011/8/16,50.65,39029 
2011/8/17,50.5,35881 
2011/8/18,49.42,73320 
2011/8/19,49.04,49269 
2011/8/22,49.88,46371 
2011/8/23,51.26,46548 
2011/8/24,51.8,50480 
2011/8/25,51.42,30883 
2011/8/26,52.11,40513 
2011/8/29,53.26,38635 
2011/8/30,52.95,33757 
2011/8/31,53.26,47789 
2011/9/1,52.64,47994 
2011/9/2,51.8,44964 
2011/9/5,51.11,49912 
2011/9/6,50.73,40850 
2011/9/7,52.64,40117 
2011/9/8,52.72,43046 
2011/9/9,53.18,38350 
2011/9/13,52.49,34951 
2011/9/14,51.57,60845 
2011/9/15,53.03,44236 
2011/9/16,54.56,78609 
2011/9/19,54.64,28798 
2011/9/20,54.1,46911 
2011/9/21,55.25,54414 
2011/9/22,52.95,64921 
2011/9/23,51.8,89409 
2011/9/26,51.57,61686 
2011/9/27,53.64,56719 
2011/9/28,53.95,46783 
2011/9/29,53.95,39956 
2011/9/30,53.72,60517 
2011/10/3,52.64,33968 
2011/10/4,53.03,36568 
2011/10/5,53.03,36349 
2011/10/6,52.95,57263 
2011/10/7,53.03,47924 
2011/10/11,53.72,55726 
2011/10/12,54.03,41639 
2011/10/13,54.03,58476 
2011/10/14,53.95,38790 
2011/10/17,54.56,39053 
2011/10/18,54.26,25859 
2011/10/19,54.56,32281 
2011/10/20,53.49,27287 
2011/10/21,53.95,17965 
2011/10/24,55.02,50146 
2011/10/25,54.87,43178 
2011/10/26,55.18,25727 
2011/10/27,55.18,39438 
2011/10/28,56.1,93382 
2011/10/31,56.48,46791 
2011/11/1,56.63,37363 
2011/11/2,56.71,34693 
2011/11/3,56.4,43447 
2011/11/4,57.25,57309 
2011/11/7,57.56,29685 
2011/11/8,57.17,21482 
2011/11/9,56.86,20575 
2011/11/10,55.71,49448 
2011/11/11,56.33,27527 
2011/11/14,58.25,63725 
2011/11/15,58.32,37165 
2011/11/16,57.86,39988 
2011/11/17,58.09,34944 
2011/11/18,56.94,56459 
2011/11/21,56.25,23406 
2011/11/22,56.79,47492 
2011/11/23,56.33,43984 
2011/11/24,55.87,47608 
2011/11/25,54.95,38314 
2011/11/28,56.48,34957 
2011/11/29,56.48,42724 
2011/11/30,57.25,51449 
2011/12/1,58.78,78593 
2011/12/2,58.32,35343 
2011/12/5,58.55,30150 
2011/12/6,57.86,43140 
2011/12/7,58.63,40912 
2011/12/8,58.55,31710 
2011/12/9,56.86,42027 
2011/12/12,57.56,28589 
2011/12/13,57.71,31354 
2011/12/14,57.17,29240 
2011/12/15,55.64,36001 
2011/12/16,55.79,22604 
2011/12/19,55.64,24542 
2011/12/20,55.87,27359 
2011/12/21,58.32,54091 
2011/12/22,57.56,26771 
2011/12/23,57.86,30276 
2011/12/26,57.56,11335 
2011/12/27,57.94,14641 
2011/12/28,58.09,20046 
2011/12/29,58.17,24790 
2011/12/30,58.17,32283 
2012/1/2,57.56,14945 
2012/1/3,58.09,21223 
2012/1/4,58.17,34126 
2012/1/5,58.32,28076 
2012/1/6,58.02,30123 
2012/1/9,58.02,27655 
2012/1/10,58.71,62064 
2012/1/11,58.71,44295 
2012/1/12,59.09,55520 
2012/1/13,59.47,57757 
2012/1/16,57.79,37711 
2012/1/17,58.02,43995 
2012/1/18,58.86,57181 
2012/1/30,60.39,147548 
2012/1/31,60.24,87917 
2012/2/1,59.09,47222 
2012/2/2,58.94,54065 
2012/2/3,58.48,49361 
2012/2/4,58.71,22960 
2012/2/6,59.4,47596 
2012/2/7,59.4,30008 
2012/2/8,59.47,35600 
2012/2/9,59.86,70988 
2012/2/10,59.01,47270 
2012/2/13,58.78,36415 
2012/2/14,59.32,42110 
2012/2/15,60.24,71500 
2012/2/16,60.24,59907 
2012/2/17,61.39,78979 
2012/2/20,61.39,31810 
2012/2/21,61.39,28138 
2012/2/22,61.16,41142 
2012/2/23,59.93,59975 
2012/2/24,60.7,41026 
2012/2/29,62.24,78339 
2012/3/1,61.47,21239 
2012/3/2,61.39,23912 
2012/3/3,60.85,7341 
2012/3/5,60.55,22825 
2012/3/6,61.01,27779 
2012/3/7,60.7,30335 
2012/3/8,61.16,36967 
2012/3/9,61.39,22731 
2012/3/12,61.39,28952 
2012/3/13,62.39,48137 
2012/3/14,63.85,63309 
2012/3/15,63.85,30609 
2012/3/16,62.24,29210 
2012/3/19,64.23,37508 
2012/3/20,63.85,30105 
2012/3/21,65.15,76183 
2012/3/22,65.38,38057 
2012/3/23,65.54,29495 
2012/3/26,64.15,59940 
2012/3/27,65.84,38560 
2012/3/28,65.61,28304 
2012/3/29,64.54,49939 
2012/3/30,65.15,43825 
2012/4/2,65.31,23685 
2012/4/3,65.23,31283 
2012/4/5,63.77,47674 
2012/4/6,64.31,34112 
2012/4/9,63.69,23247 
2012/4/10,62.93,33387 
2012/4/11,63.23,40770 
2012/4/12,63.39,39454 
2012/4/13,65.15,44743 
2012/4/16,65.15,19776 
2012/4/17,64.31,29502 
2012/4/18,65.23,32818 
2012/4/19,65.84,31617 
2012/4/20,64.69,29213 
2012/4/23,64.69,20351 
2012/4/24,64.92,33319 
2012/4/25,64.62,49611 
2012/4/26,64.46,21066 
2012/4/27,66,118848 
2012/4/30,66.61,47647 
2012/5/2,67.84,48249 
2012/5/3,68.22,27728 
2012/5/4,67.22,37719 
2012/5/7,65.69,47917 
2012/5/8,64.77,45836 
2012/5/9,64.92,41263 
2012/5/10,65.46,28688 
2012/5/11,65.61,33627 
2012/5/14,65.54,14135 
2012/5/15,65.61,30739 
2012/5/16,64,65470 
2012/5/17,65.31,33657 
2012/5/18,62.77,57620 
2012/5/21,63.31,32414 
2012/5/22,63.08,33977 
2012/5/23,60.7,63269 
2012/5/24,61.85,40984 
2012/5/25,61.39,28279 
2012/5/28,62.62,30137 
2012/5/29,63.16,41171 
2012/5/30,62.7,75751 
2012/5/31,65.31,89332 
2012/6/1,61.32,66924 
2012/6/4,58.71,66008 
2012/6/5,60.01,37616 
2012/6/6,59.7,33715 
2012/6/7,61.24,47699 
2012/6/8,59.78,35987 
2012/6/11,61.7,40596 
2012/6/12,60.93,38319 
2012/6/13,61.39,32284 
2012/6/14,60.78,31161 
2012/6/15,59.93,89900 
2012/6/18,62.01,33737 
2012/6/19,61.78,28910 
2012/6/20,62.62,35326 
2012/6/21,61.85,27063 
2012/6/22,61.47,31117 
2012/6/25,61.09,40786 
2012/6/26,60.39,42391 
2012/6/27,60.85,32770 
2012/6/28,61.32,33113 
2012/6/29,62.39,50919 
2012/7/2,63.92,64377 
2012/7/3,64.62,60850 
2012/7/4,64.61,44220 
2012/7/5,64.46,28556 
2012/7/6,64.38,38187 
2012/7/9,63.66,45060 
2012/7/10,62.94,37141 
2012/7/11,62.15,59419 
2012/7/12,60.24,69235 
2012/7/13,60.32,52310 
2012/7/16,60.08,41994 
2012/7/17,59.52,51879 
2012/7/18,59.52,38710 
2012/7/19,61.67,62113 
2012/7/20,61.03,49932 
2012/7/23,59.12,57536 
2012/7/24,59.52,39973 
2012/7/25,59.36,72480 
2012/7/26,60.72,47155 
2012/7/27,63.1,73460 
2012/7/30,62.86,51381 
2012/7/31,64.46,68248 
2012/8/1,63.66,43525 
2012/8/3,63.5,47301 
2012/8/6,64.38,58469 
2012/8/7,64.77,40186 
2012/8/8,64.06,40138 
2012/8/9,65.49,54299 
2012/8/10,65.25,30075 
2012/8/13,65.81,30295 
2012/8/14,66.21,33337 
2012/8/15,66.05,27500 
2012/8/16,65.97,28242 
2012/8/17,65.25,30136 
2012/8/20,65.57,26037 
2012/8/21,66.52,36886 
2012/8/22,65.57,33635 
2012/8/23,65.81,22367 
2012/8/24,65.25,25494 
2012/8/27,66.05,25735 
2012/8/28,65.57,32428 
2012/8/29,65.81,18467 
2012/8/30,65.81,46031 
2012/8/31,66.29,13536 
2012/9/3,66.76,20795 
2012/9/4,66.84,21703 
2012/9/5,65.25,43302 
2012/9/6,64.54,25873 
2012/9/7,66.68,44499 
2012/9/10,66.45,23048 
2012/9/11,67.16,31624 
2012/9/12,67.24,37513 
2012/9/13,67.64,29680 
2012/9/14,68.83,52174 
2012/9/17,68.83,26567 
2012/9/18,68.2,35898 
2012/9/19,68.43,43594 
2012/9/20,67.88,26839 
2012/9/21,68.2,51084 
2012/9/24,68.51,30360 
2012/9/25,68.35,35919 
2012/9/26,68.75,36962 
2012/9/27,69.71,55641 
2012/9/28,71.46,70929 
2012/10/1,70.74,38173 
2012/10/2,71.3,35734 
2012/10/3,71.46,32589 
2012/10/4,72.09,39780 
2012/10/5,72.41,42175 
2012/10/8,70.9,40762 
2012/10/9,69.31,61216 
2012/10/11,68.04,77901 
2012/10/12,68.67,24739 
2012/10/15,68.75,19652 
2012/10/16,69.63,29927 
2012/10/17,69.55,35886 
2012/10/18,70.11,23090 
2012/10/19,68.99,27673 
2012/10/22,68.43,21235 
2012/10/23,68.2,16192 
2012/10/24,67.96,30208 
2012/10/25,67.48,39418 
2012/10/26,69.47,68297 
2012/10/29,70.11,37746 
2012/10/30,70.03,30349 
2012/10/31,70.58,26035 
2012/11/1,70.98,36018 
2012/11/2,71.54,39106 
2012/11/5,71.86,31496 
2012/11/6,71.94,26410 
2012/11/7,72.41,22104 
2012/11/8,72.02,39982 
2012/11/9,72.25,38435 
2012/11/12,72.65,29957 
2012/11/13,71.86,41761 
2012/11/14,72.02,31098 
2012/11/15,71.78,25096 
2012/11/16,71.78,33802 
2012/11/19,71.62,24008 
2012/11/20,71.94,21474 
2012/11/21,72.02,30262 
2012/11/22,72.65,20798 
2012/11/23,75.99,64301 
2012/11/26,75.83,40021 
2012/11/27,76.63,50925 
2012/11/28,76.31,63210 
2012/11/29,76.79,56516 
2012/11/30,78.54,76884 
2012/12/3,77.9,44060 
2012/12/4,76.87,43075 
2012/12/5,77.11,60542 
2012/12/6,76.87,33501 
2012/12/7,78.06,37114 
2012/12/10,76.79,30865 
2012/12/11,78.22,40668 
2012/12/12,78.3,42272 
2012/12/13,78.94,45585 
2012/12/14,78.3,34112 
2012/12/17,77.19,46715 
2012/12/18,76.95,35430 
2012/12/19,77.43,27889 
2012/12/20,76.39,35517 
2012/12/21,75.44,34754 
2012/12/22,76.15,8384 
2012/12/24,75.76,17215 
2012/12/25,76.79,16006 
